NAME	monocyte	T cell	hematopoietic stem cell	granulocyte	erythrocyte	B cell	macrophage	Fraction A pre-pro B cell
Alas1	42.2011114419144	1	104.277796342125	50.7394265477181	1	1	1	1
Alas2	1	1	544.144290633864	1	5140.37790191859	1	1	1
Aldh1a1	1	1	1	1	135.620836711391	1	1	1
Aldh1b1	1	1	1	1	1	1	36.3759769805133	1
Aldh2	467.116677696659	1	390.409665181253	790.607262986434	59.1035083511279	228.916280111441	234.643155656099	306.429119727483
Aldh3b1	115.82758477813	1	57.1511738083073	144.548538910449	1	1	51.6894544501497	77.1732276494738
Alg1	28.6474608889702	1	1	1	1	1	1	1
Alkbh7	1	1	1	1	1	1	38.1858099162457	1
Alox5	1	1	34.0851223331302	116.343845666184	1	1	1	1
Alox5ap	1584.7063475503	1	560.444638461025	1510.39530374838	69.1121567914208	41.0511048152142	656.54665067342	77.9515018605176
Amdhd2	39.6917874910067	1	40.846431944853	1	1	1	1	1
Amica1	1	65.4504081325581	1	1	1	1	282.782021464098	1
Amz2	1	1	21.1328791920369	1	1	1	1	54.8689361876359
Ankfy1	39.7709659063595	1	1	1	1	1	1	1
Ankib1	1	1	1	1	1	1	59.2136899303963	1
Ankle1	1	1	1	1	1	32.2365431342057	1	1
Ankrd22	1	1	1	74.8265124660316	1	1	1	1
Ankrd27	1	1	1	1	1	1	34.578875053844	1
Ankrd33b	1	1	1	1	1	1	1	231.829623548781
Ankrd46	1	1	1	1	1	1	1	53.8792511947266
Ankrd9	1	1	24.9280393778624	1	1	1	1	1
Anks3	1	1	1	1	1	1	42.7492534178348	1
Anln	1	1	52.0051364163932	1	1	36.096314072098	1	1
Ano10	1	1	1	49.4313833555526	1	1	1	1
Ano6	1	1	21.4077564575875	1	1	53.122587483082	1	1
Antxr2	1	1	1	37.3576151861654	1	1	1	1
Anxa1	302.217375881818	1	598.086639673414	2665.70046132236	69.1688594572412	52.3271434388144	1	144.857478123802
Anxa11	62.3046620477513	60.0299000528281	93.8461977955	254.026176881922	1	58.0690919373017	51.6210971708802	84.8744688594657
Anxa2	867.914229933224	214.277691821542	307.125219767212	596.312717866072	64.0110510930425	1	167.952756192604	1
Anxa3	64.2057561253518	1	139.745806291044	267.511914333404	1	1	1	1
Anxa4	46.0654680117379	1	1	1	1	1	1	1
Anxa5	531.310114119709	46.5986234006479	138.956966811474	101.728074672306	1	1	133.644001263945	94.0141130591823
Anxa6	105.053778746817	178.156952221977	64.5473939718005	1	1	60.4718912807853	91.0379013272206	96.4897050558838
Ap1ar	1	1	1	1	1	48.2592909852154	1	64.9347980055379
Ap1b1	1	1	27.7722591237731	1	1	1	1	71.6397289140196
Ap1s2	32.2615911692991	1	1	1	1	1	1	1
Ap1s3	1	1	1	1	1	36.8773270124093	38.4445710622913	1
Ap2a2	78.9329571810827	1	56.5601955207478	45.5961190504938	1	1	42.0469813963833	1
Apaf1	46.0943987024351	1	25.6824881119814	1	1	1	1	1
Apbb1	1	1	1	1	1	1	1	38.0867119361863
Apc	42.2023588083329	1	1	1	1	41.0670965933904	137.632665194231	46.2176340814288
