	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000100868.1	4.91217563835744	0.331733768898731	0.669878709055744	0.495214677544149	0.620448591040851	0.999963202828308
ENSMUSG00000089982.7	4.11252413027349	0.0859231609854247	0.692023585865949	0.124162185712076	0.901186861934458	0.999963202828308
ENSMUSG00000025920.19	557.447866698507	0.226001483938777	0.136906808487625	1.65076877063572	0.0987857992235187	0.999963202828308
ENSMUSG00000025939.18	1007.2032970441	-0.00205220507326598	0.172325121880055	-0.01190891409724	0.990498285898804	0.999963202828308
ENSMUSG00000102457.1	25.8721497088396	0.550826003244714	0.303854732695462	1.81279389120714	0.0698636165139062	0.999963202828308
ENSMUSG00000079658.9	727.365575905594	0.0602073353262282	0.223572609798013	0.269296562672067	0.78770147710367	0.999963202828308
ENSMUSG00000025940.6	835.794753021534	0.167873338789949	0.199778632786135	0.840296764717872	0.400742014957089	0.999963202828308
ENSMUSG00000025779.10	72.5303266187304	-0.303107871737831	0.302129710306496	-1.00323755459317	0.315746257276328	0.999963202828308
ENSMUSG00000091020.3	31.2167355992636	0.0124082458854579	0.325151004039934	0.0381614872206697	0.96955892725979	0.999963202828308
ENSMUSG00000042686.5	72.3933957044987	0.134838769047985	0.209324288539306	0.644162079751514	0.519470337705082	0.999963202828308
ENSMUSG00000025777.8	441.988446772873	0.433230148831154	0.721713251262669	0.600280164003084	0.548319536117619	0.999963202828308
ENSMUSG00000101589.1	71.3519363681273	-0.144763764734506	0.21759439928591	-0.665291777773619	0.505863888541856	0.999963202828308
ENSMUSG00000067780.3	1989.31512648476	-0.24889284392575	0.435200119418984	-0.571904355766345	0.567386772955678	0.999963202828308
ENSMUSG00000100053.1	63.7996013862768	-0.183134021623519	0.293523911473587	-0.623915171694619	0.532683296000199	0.999963202828308
ENSMUSG00000085125.7	83.6035560459209	-0.0207863315826099	0.289373002416576	-0.0718323112696128	0.942735358555908	0.999963202828308
ENSMUSG00000025776.13	425.817888983505	0.171102363807759	0.267520724749047	0.63958545255985	0.522442142591656	0.999963202828308
ENSMUSG00000099895.1	3.19332685912057	0.432969133242616	0.813299814295448	0.532361037875918	0.59447596486583	0.999963202828308
ENSMUSG00000100554.1	2.10627432545635	0.465572904321167	1.11064574872802	0.419191182115784	0.675076415966474	0.999963202828308
ENSMUSG00000100720.1	26.3158210361627	-0.162595197287197	0.328057472399368	-0.495630220211103	0.620155327331033	0.999963202828308
ENSMUSG00000025927.13	127.330339687704	0.198672989674717	0.539575009102453	0.368202726818642	0.712722077241371	0.999963202828308
ENSMUSG00000100204.1	22.9599250893181	-0.24781294434753	0.305264604921973	-0.811797176455726	0.416908022509123	0.999963202828308
ENSMUSG00000043760.16	5.05339932824025	-0.32875612957829	0.861884809651983	-0.381438593529729	0.702877828214284	0.999963202828308
ENSMUSG00000041859.10	298.519024089998	-0.362170040788342	0.17538136557786	-2.06504288294846	0.0389189429601611	0.999963202828308
ENSMUSG00000025931.15	351.207771827191	0.249574017718655	0.361095241172967	0.691158423766397	0.489465988370709	0.999963202828308
ENSMUSG00000041809.5	32.5168480586336	-0.0673304436552599	0.318605518861436	-0.211328554181582	0.832630903017847	0.999963202828308
ENSMUSG00000041779.5	584.742539963417	-0.0397482773011536	0.188797831325909	-0.210533548092185	0.833251270764688	0.999963202828308
ENSMUSG00000100819.1	3.69451359325033	-0.231604544021501	0.737306033952862	-0.314122675464648	0.753427868022486	0.999963202828308
ENSMUSG00000025933.15	87.0511868287469	0.290708786104423	0.249188553712217	1.16662174796422	0.243363156661966	0.999963202828308
ENSMUSG00000102633.1	3.50440863178257	0.825856346512592	0.875057535784631	0.94377376656962	0.345285268948466	0.999963202828308
ENSMUSG00000025934.15	90.5760080139654	-0.311052728676954	0.350517855269424	-0.887409083448445	0.374858694837686	0.999963202828308
ENSMUSG00000099343.1	2.24001213850375	-0.987809181140412	0.965225416269063	-1.02339739970653	0.30611998836167	0.999963202828308
